Frequency(Hz),Magnitude(dB)
0.00,0.00
0.50,-0.00
1.00,-0.00
1.50,-0.00
2.00,-0.00
2.50,-0.00
3.00,-0.00
3.50,-0.00
4.00,-0.00
4.50,-0.00
5.00,-0.00
5.50,-0.00
6.00,-0.00
6.50,-0.00
7.00,-0.00
7.50,-0.00
8.00,-0.00
8.50,-0.00
9.00,-0.00
9.50,-0.00
10.00,-0.00
10.50,-0.00
11.00,-0.00
11.50,-0.00
12.00,-0.00
12.50,-0.00
13.00,-0.00
13.50,-0.00
14.00,-0.00
14.50,-0.00
15.00,-0.00
15.50,-0.00
16.00,-0.00
16.50,-0.00
17.00,-0.00
17.50,-0.00
18.00,-0.00
18.50,-0.00
19.00,-0.00
19.50,-0.00
20.00,-0.00
20.50,-0.00
21.00,-0.00
21.50,-0.00
22.00,-0.00
22.50,-0.00
23.00,-0.00
23.50,-0.00
24.00,-0.00
24.50,-0.00
25.00,-0.00
25.50,-0.00
26.00,-0.00
26.50,-0.00
27.00,-0.00
27.50,-0.00
28.00,-0.00
28.50,-0.00
29.00,-0.00
29.50,-0.00
30.00,-0.00
30.50,-0.00
31.00,-0.00
31.50,-0.00
32.00,-0.00
32.50,-0.00
33.00,-0.00
33.50,-0.00
34.00,-0.00
34.50,-0.00
35.00,-0.00
35.50,-0.00
36.00,-0.00
36.50,-0.00
37.00,-0.00
37.50,-0.00
38.00,-0.00
38.50,-0.01
39.00,-0.01
39.50,-0.01
40.01,-0.01
40.51,-0.01
41.01,-0.01
41.51,-0.01
42.01,-0.01
42.51,-0.01
43.01,-0.01
43.51,-0.01
44.01,-0.01
44.51,-0.01
45.01,-0.01
45.51,-0.01
46.01,-0.01
46.51,-0.01
47.01,-0.01
47.51,-0.01
48.01,-0.01
48.51,-0.01
49.01,-0.01
49.51,-0.01
50.01,-0.01
50.51,-0.01
51.01,-0.01
51.51,-0.01
52.01,-0.01
52.51,-0.01
53.01,-0.01
53.51,-0.01
54.01,-0.01
54.51,-0.01
55.01,-0.01
55.51,-0.01
56.01,-0.01
56.51,-0.01
57.01,-0.01
57.51,-0.01
58.01,-0.01
58.51,-0.01
59.01,-0.01
59.51,-0.01
60.01,-0.01
60.51,-0.01
61.01,-0.01
61.51,-0.01
62.01,-0.01
62.51,-0.01
63.01,-0.01
63.51,-0.01
64.01,-0.01
64.51,-0.01
