Amostra,Sinal_Original,Sinal_Filtrado
0,0.000000,0.000000
1,2.000000,0.195262
2,6.000000,1.160406
3,15.000000,3.860255
4,26.000000,9.305808
5,40.000000,17.933373
6,58.000000,29.817306
7,80.000000,45.175168
8,104.000000,64.089660
9,131.000000,86.273341
10,162.000000,111.525273
11,196.000000,139.947084
12,233.000000,171.603939
13,273.000000,206.425771
14,317.000000,244.422426
15,363.000000,285.626546
16,413.000000,329.967990
17,466.000000,377.467381
18,522.000000,428.167543
19,581.000000,482.004344
20,644.000000,539.000677
21,708.000000,599.101872
22,776.000000,662.053492
23,847.000000,727.829138
24,921.000000,796.586363
25,998.000000,868.384879
26,1078.000000,943.228464
27,1160.000000,1021.003146
28,1246.000000,1101.600213
29,1334.000000,1185.052788
30,1424.000000,1271.233080
31,1518.000000,1360.009561
32,1614.000000,1451.496088
33,1712.000000,1545.648584
34,1813.000000,1642.289912
35,1917.000000,1741.463017
36,2023.000000,1843.267437
37,2131.000000,1947.587438
38,2242.000000,2054.280725
39,2354.000000,2163.251723
40,2470.000000,2274.457748
41,2586.000000,2387.890423
42,2706.000000,2503.458441
43,2827.000000,2621.176144
44,2949.000000,2740.892225
45,3074.000000,2862.361620
46,3201.000000,2985.696609
47,3329.000000,3110.987107
48,3459.000000,3238.085199
49,3590.000000,3366.821457
50,3723.000000,3497.085448
51,3858.000000,3628.927161
52,3994.000000,3762.430538
53,4131.000000,3897.462795
54,4268.000000,4033.675499
55,4407.000000,4170.784405
56,4547.000000,4308.832933
57,4688.000000,4447.956765
58,4831.000000,4588.269352
59,4972.000000,4729.637167
60,5116.000000,4871.701239
61,5259.000000,5014.362899
62,5404.000000,5157.648778
63,5548.000000,5301.519244
64,5693.000000,5445.830419
65,5839.000000,5590.557501
66,5984.000000,5735.725061
67,6129.000000,5881.071643
68,6274.000000,6026.342549
69,6419.000000,6171.482435
70,6564.000000,6316.524019
71,6708.000000,6461.418965
72,6851.000000,6605.915533
73,6994.000000,6749.792494
74,7137.000000,6893.120444
75,7278.000000,7035.942056
76,7418.000000,7177.981136
77,7559.000000,7319.158324
78,7697.000000,7459.588494
79,7833.000000,7598.918249
80,7970.000000,7736.873742
81,8004.000000,7863.844372
82,8036.000000,7960.706831
83,8066.000000,8022.202867
84,8093.000000,8059.512496
85,8117.000000,8084.733830
86,8140.000000,8105.644033
87,8160.000000,8125.738047
88,8177.000000,8145.523284
89,8193.000000,8164.313154
90,8205.000000,8181.388830
91,8216.000000,8196.203826
92,8223.000000,8208.482521
93,8228.000000,8218.049585
94,8230.000000,8224.831592
95,8231.000000,8229.013019
96,8228.000000,8230.792268
97,8223.000000,8230.099640
98,8216.000000,8226.900920
99,8206.000000,8221.284713
100,8193.000000,8213.150699
101,8178.000000,8202.374761
102,8159.000000,8188.873321
103,8140.000000,8172.706584
104,8117.000000,8154.154431
105,8091.000000,8133.167779
106,8063.000000,8109.509424
107,8032.000000,8083.167353
108,7999.000000,8054.209306
109,7963.000000,8022.703155
110,7924.000000,7988.592679
111,7884.000000,7951.899879
112,7841.000000,7912.859500
113,7794.000000,7871.392636
114,7745.000000,7827.151381
115,7694.000000,7780.126924
116,7641.000000,7730.622187
117,7585.000000,7678.828074
118,7526.000000,7624.628334
119,7465.000000,7567.849732
120,7401.000000,7508.465319
121,7335.000000,7446.507435
122,7266.000000,7382.015552
123,7195.000000,7315.016104
124,7122.000000,7245.618489
125,7046.000000,7173.917034
126,6967.000000,7099.768947
127,6886.000000,7023.008157
128,6803.000000,6943.720951
129,6718.000000,6862.141671
130,6631.000000,6778.462491
131,6540.000000,6692.591222
132,6448.000000,6604.279256
133,6354.000000,6513.615826
134,6256.000000,6420.670301
135,6157.000000,6325.283076
136,6057.000000,6227.671074
137,5954.000000,6128.189646
138,5848.000000,6026.710989
139,5740.000000,5922.898525
140,5631.000000,5816.770423
141,5519.000000,5708.553632
142,5406.000000,5598.358440
143,5290.000000,5486.213172
144,5172.000000,5372.010144
145,5053.000000,5255.736017
146,4932.000000,5137.609373
147,4809.000000,5017.743108
148,4684.000000,4896.073170
149,4557.000000,4772.501537
150,4429.000000,4647.054777
151,4299.000000,4519.888240
152,4168.000000,4391.139540
153,4034.000000,4260.789003
154,3900.000000,4128.772209
155,3764.000000,3995.230244
156,3625.000000,3860.122335
157,3487.000000,3723.363013
158,3346.000000,3585.178181
159,3204.000000,3445.614049
160,3061.000000,3304.638886
161,2917.000000,3162.402630
162,2772.000000,3019.057225
163,2625.000000,2874.598314
164,2477.000000,2728.873507
165,2328.000000,2581.838218
166,2179.000000,2433.696464
167,2027.000000,2284.557830
168,1876.000000,2134.359994
169,1724.000000,1983.300564
170,1570.000000,1831.488989
171,1417.000000,1678.864960
172,1262.000000,1525.530393
173,1107.000000,1371.503851
174,951.000000,1216.768860
175,795.000000,1061.401334
176,639.000000,905.575966
177,482.000000,749.432156
178,324.000000,592.847834
179,166.000000,435.661451
180,8.000000,277.956642
181,-150.000000,119.963746
182,-309.000000,-38.225584
183,-467.000000,-196.601717
184,-624.000000,-354.893228
185,-782.000000,-512.847428
186,-941.000000,-670.707076
187,-1099.000000,-828.785281
188,-1256.000000,-986.905796
189,-1414.000000,-1144.798089
190,-1571.000000,-1302.461108
191,-1727.000000,-1459.788777
192,-1882.000000,-1616.486176
193,-2038.000000,-1772.505871
194,-2193.000000,-1928.096712
195,-2347.000000,-2083.313863
196,-2500.000000,-2237.931125
197,-2653.000000,-2391.814474
198,-2804.000000,-2544.912954
199,-2956.000000,-2697.223197
200,-3105.000000,-2848.759012
201,-3254.000000,-2999.339281
202,-3402.000000,-3148.886270
203,-3548.000000,-3297.387064
204,-3693.000000,-3444.660137
205,-3838.000000,-3590.733911
206,-3980.000000,-3735.695690
207,-4121.000000,-3879.325419
208,-4261.000000,-4021.484159
209,-4399.000000,-4162.211898
210,-4536.000000,-4301.495019
211,-4671.000000,-4439.307355
212,-4805.000000,-4575.628776
213,-4935.000000,-4710.253760
214,-5066.000000,-4842.995252
215,-5193.000000,-4973.940663
216,-5320.000000,-5103.137126
217,-5443.000000,-5230.502309
218,-5566.000000,-5355.942881
219,-5685.000000,-5479.398288
220,-5802.000000,-5600.647291
221,-5919.000000,-5719.696750
222,-6031.000000,-5836.724508
223,-6143.000000,-5951.603059
224,-6251.000000,-6064.250540
225,-6357.000000,-6174.534639
226,-6461.000000,-6282.357899
227,-6562.000000,-6387.770172
228,-6661.000000,-6490.753315
229,-6757.000000,-6591.273602
230,-6850.000000,-6689.207655
231,-6941.000000,-6784.450394
232,-7029.000000,-6877.041504
233,-7114.000000,-6966.955799
234,-7196.000000,-7054.058669
235,-7275.000000,-7138.231604
236,-7352.000000,-7219.505368
237,-7426.000000,-7298.046102
238,-7496.000000,-7373.804927
239,-7564.000000,-7446.582751
240,-7629.000000,-7516.403421
241,-7690.000000,-7583.258152
242,-7748.000000,-7646.935454
243,-7803.000000,-7707.336488
244,-7855.000000,-7764.536198
245,-7904.000000,-7818.638187
246,-7949.000000,-7869.617521
247,-7991.000000,-7917.318525
248,-8030.000000,-7961.700373
249,-8066.000000,-8002.874092
250,-8097.000000,-8040.762710
251,-8126.000000,-8075.159015
252,-8151.000000,-8106.088566
253,-8173.000000,-8133.644529
254,-8191.000000,-8157.808593
255,-8206.000000,-8178.532439
256,-8217.000000,-8195.776613
257,-8226.000000,-8209.617657
258,-8230.000000,-8220.140886
259,-8230.000000,-8227.108328
260,-8228.000000,-8230.364815
261,-8222.000000,-8230.136268
262,-8212.000000,-8226.492152
263,-8199.000000,-8219.325015
264,-8182.000000,-8208.608034
265,-8161.000000,-8194.254098
266,-8137.000000,-8176.190027
267,-8110.000000,-8154.571119
268,-8079.000000,-8129.568187
269,-8044.000000,-8101.095247
270,-8006.000000,-8069.014293
271,-7963.000000,-8033.223874
272,-7918.000000,-7993.674344
273,-7869.000000,-7950.547973
274,-7817.000000,-7904.033159
275,-7761.000000,-7854.149134
276,-7702.000000,-7800.851233
277,-7639.000000,-7744.090934
278,-7572.000000,-7683.739747
279,-7502.000000,-7619.692706
280,-7429.000000,-7552.088939
281,-7352.000000,-7481.094605
282,-7272.000000,-7406.722354
283,-7189.000000,-7329.026359
284,-7102.000000,-7248.053475
285,-7013.000000,-7163.829822
286,-6920.000000,-7076.462037
287,-6823.000000,-6985.846692
288,-6723.000000,-6891.753094
289,-6621.000000,-6794.291117
290,-6515.000000,-6693.738876
291,-6406.000000,-6590.126696
292,-6294.000000,-6483.390462
293,-6179.000000,-6373.557248
294,-6062.000000,-6260.771583
295,-5941.000000,-6145.160705
296,-5818.000000,-6026.698769
297,-5692.000000,-5905.416625
298,-5562.000000,-5781.254343
299,-5430.000000,-5654.047506
300,-5296.000000,-5523.953972
301,-5159.000000,-5391.275004
302,-5020.000000,-5256.144387
303,-4877.000000,-5118.490205
304,-4733.000000,-4978.200055
305,-4587.000000,-4835.484832
306,-4438.000000,-4690.580835
307,-4287.000000,-4543.445288
308,-4134.000000,-4394.056730
309,-3978.000000,-4242.409180
310,-3820.000000,-4088.406527
311,-3661.000000,-3932.155409
312,-3500.000000,-3773.983667
313,-3337.000000,-3614.067213
314,-3172.000000,-3452.364989
315,-3006.000000,-3288.877278
316,-2838.000000,-3123.715663
317,-2668.000000,-2956.887623
318,-2497.000000,-2788.363010
319,-2325.000000,-2618.306175
320,-2152.000000,-2446.979746
321,-1977.000000,-2274.478918
322,-1801.000000,-2100.708267
