Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
0.00,386393.000000,386349.067150
0.10,386442.547836,386398.615002
0.20,386323.151280,386279.218465
0.30,386372.172490,386328.239710
0.40,386456.437866,386412.505126
0.50,386772.550477,386728.617813
0.60,386689.339905,386645.407295
0.70,387006.288517,386962.355989
0.80,387083.388235,387039.455712
0.90,387236.911860,387192.979519
1.00,387534.035131,387490.102772
1.10,387748.973077,387705.040981
1.20,387913.892779,387869.960731
1.30,388239.744772,388195.813103
1.40,388551.617399,388507.685719
1.50,388806.804926,388762.873500
1.60,389241.242085,389197.310868
1.70,389539.084151,389495.153125
1.80,389957.716161,389913.785453
1.90,390396.528131,390352.597600
2.00,390951.888868,390907.958726
2.10,391438.605894,391394.676052
2.20,391933.111628,391889.181767
2.30,392439.998792,392396.069617
2.40,392957.182304,392913.253602
2.50,393501.760845,393457.832443
2.60,394207.189364,394163.261603
2.70,394790.499371,394746.571784
2.80,395325.449950,395281.522748
2.90,395917.715894,395873.789338
3.00,396723.493074,396679.567252
3.10,397343.327829,397299.402282
3.20,398253.355445,398209.430646
3.30,399053.605542,399009.681449
3.40,399759.389087,399715.465453
3.50,400548.537453,400504.614521
3.60,401439.171097,401395.249059
3.70,402442.911697,402398.990605
3.80,402954.243113,402910.323087
3.90,404151.080640,404107.161624
4.00,405096.386011,405052.467248
4.10,405991.127344,405947.210074
4.20,406978.761970,406934.845774
4.30,408118.454140,408074.539301
4.40,408852.030919,408808.117301
4.50,409959.693954,409915.781341
4.60,411164.684909,411120.773770
4.70,412270.171619,412226.261529
4.80,413466.577570,413422.669454
4.90,414701.410521,414657.503526
5.00,415816.940057,415773.034886
5.10,417062.379414,417018.476311
5.20,418294.064283,418250.163083
5.30,419658.028559,419614.129015
5.40,421081.158319,421037.261280
5.50,422413.823217,422369.928200
5.60,423653.185023,423609.292040
5.70,425016.915152,424973.024357
5.80,426614.466163,426570.578230
5.90,428052.714661,428008.829435
6.00,429634.107726,429590.225016
6.10,431114.049209,431070.169146
6.20,432417.669349,432373.792115
6.30,434029.791114,433985.917385
6.40,435660.376664,435616.506279
6.50,437390.220576,437346.353715
6.60,438951.738795,438907.874777
6.70,440759.027062,440715.167312
6.80,442467.438809,442423.583368
6.90,444362.153581,444318.302218
7.00,446131.882937,446088.036446
7.10,447904.264601,447860.423130
7.20,449765.180487,449721.342638
7.30,451785.727141,451741.894909
7.40,453564.796990,453520.970360
7.50,455505.751071,455461.929211
7.60,457565.997776,457522.182110
7.70,459490.458440,459446.648879
7.80,461670.361509,461626.560474
7.90,463662.319980,463618.522611
8.00,465782.220245,465738.431490
8.10,468110.352782,468066.570929
8.20,470321.580836,470277.807039
8.30,472442.069866,472398.303799
8.40,474808.897508,474765.139669
8.50,477335.928405,477292.178225
8.60,479434.219565,479390.478650
8.70,481795.493645,481751.762571
8.80,484416.678270,484372.956626
8.90,486708.946991,486665.237072
9.00,489392.955721,489349.255695
9.10,491877.366205,491833.674771
9.20,494366.684277,494323.004752
9.30,497177.283362,497133.617192
9.40,499835.179826,499791.525057
9.50,502524.931417,502481.289978
9.60,505276.030032,505232.402036
9.70,508053.414798,508009.802106
9.80,510872.048480,510828.447785
9.90,513748.940424,513705.356575
10.00,516728.852195,516685.281959
10.10,519613.156471,519569.603912
10.20,522609.430171,522565.895176
10.30,525612.129471,525568.614009
10.40,528898.643443,528855.143494
10.50,532089.213592,532045.733887
10.60,535236.910485,535193.450299
10.70,538462.929678,538419.490840
10.80,541673.402123,541629.985258
10.90,545067.811196,545024.414308
11.00,548470.812462,548427.439230
11.10,552043.351706,552000.002624
11.20,555446.662222,555403.338809
11.30,558893.890376,558850.592527
11.40,562542.621954,562499.350906
11.50,566305.966426,566262.721262
11.60,569911.210396,569867.994617
11.70,573791.813644,573748.627110
11.80,577435.285453,577392.129420
11.90,581283.069256,581239.945221
12.00,585192.925688,585149.836106
12.10,589259.622193,589216.563808
12.20,593242.400784,593199.379784
12.30,597199.350937,597156.366207
12.40,601488.274657,601445.326120
12.50,605615.264358,605572.358299
12.60,609859.472854,609816.605652
12.70,614183.837487,614141.011537
12.80,618537.362962,618494.580287
12.90,623151.094231,623108.357561
13.00,627588.725818,627546.033488
13.10,632168.064291,632125.421527
13.20,636610.773508,636568.179295
13.30,641502.642684,641460.100922
13.40,645977.114631,645934.625230
13.50,651042.125593,650999.689883
13.60,655779.244738,655736.870952
13.70,660686.193252,660643.875611
13.80,665929.912971,665887.654282
13.90,670955.256124,670913.057864
14.00,676020.366335,675978.236414
14.10,681246.332402,681204.264071
14.20,686564.331806,686522.333868
14.30,691975.883024,691933.956758
14.40,697170.613704,697128.756337
14.50,702930.245484,702888.467154
14.60,708597.421478,708555.717991
14.70,714100.230415,714058.606918
14.80,719952.767543,719911.228957
14.90,725634.621577,725593.166562
15.00,731622.960816,731581.593261
15.10,737738.328737,737697.049627
15.20,743535.570254,743494.389061
15.30,749775.685277,749734.598311
15.40,755895.191482,755854.202732
15.50,762094.412571,762053.525338
15.60,768582.225368,768541.447299
15.70,775055.361822,775014.689943
15.80,781600.937100,781560.371965
15.90,788253.023763,788212.578614
16.00,794693.336946,794653.005382
16.10,801504.845876,801464.636587
16.20,808640.951875,808600.868496
16.30,815249.943303,815209.983600
16.40,822532.101523,822492.277485
16.50,829604.061222,829564.375267
16.60,836798.741300,836759.193770
16.70,844178.811700,844139.410082
16.80,851417.856095,851378.596840
16.90,859079.426950,859040.322794
17.00,866642.442072,866603.489811
17.10,874588.417664,874549.632190
17.20,882267.240152,882228.616420
17.30,889995.864742,889957.409404
17.40,898017.373988,897979.090848
17.50,905980.584369,905942.482806
17.60,914100.263079,914062.341389
17.70,922530.472001,922492.740962
17.80,930887.636472,930850.098481
17.90,939377.249418,939339.910528
18.00,947914.162460,947877.024745
18.10,956555.727963,956518.796705
18.20,965258.846791,965222.131882
18.30,974153.957333,974117.461603
18.40,983092.724747,983056.458177
18.50,992295.178784,992259.137740
18.60,1001533.439793,1001497.636417
18.70,1010680.576007,1010645.011567
18.80,1020042.763986,1020007.455439
18.90,1029742.347605,1029707.289136
19.00,1039158.679768,1039123.884855
19.10,1048876.869998,1048842.338588
19.20,1058842.377755,1058808.120523
19.30,1068769.732640,1068735.758161
19.40,1078881.698358,1078848.011130
19.50,1088968.847946,1088935.454392
19.60,1099290.239687,1099257.144368
19.70,1109488.551014,1109455.765969
19.80,1120219.795999,1120187.326347
19.90,1130623.616531,1130591.464532
20.00,1141378.428687,1141346.609578
20.10,1152272.947359,1152241.463659
20.20,1163148.963262,1163117.830763
20.30,1174298.864158,1174268.077977
20.40,1185457.487009,1185427.062495
20.50,1196725.911523,1196695.855631
20.60,1208287.400434,1208257.721618
20.70,1219716.537226,1219687.238488
20.80,1231192.918703,1231164.013968
20.90,1243099.213222,1243070.710018
21.00,1254717.154248,1254689.059066
21.10,1266729.703327,1266702.025416
21.20,1278860.393002,1278833.137637
21.30,1290945.990282,1290919.170097
21.40,1303217.827564,1303191.454431
21.50,1315599.193661,1315573.272448
21.60,1328099.327438,1328073.868829
21.70,1340831.030535,1340806.039259
21.80,1353520.641828,1353496.131929
21.90,1366422.631580,1366398.606380
22.00,1379324.026576,1379300.497491
22.10,1392444.647700,1392421.628145
22.20,1405639.631125,1405617.128678
22.30,1418867.760142,1418845.784705
22.40,1432310.312427,1432288.873265
22.50,1445768.009297,1445747.115263
22.60,1459388.536033,1459368.196344
22.70,1473003.492487,1472983.714008
22.80,1486978.375491,1486959.174725
22.90,1500611.468922,1500592.846369
23.00,1514883.053177,1514865.025518
23.10,1528987.802765,1528970.381440
23.20,1543252.815039,1543236.003833
23.30,1557396.387370,1557380.201816
23.40,1571755.262296,1571739.704719
23.50,1586120.860804,1586105.945449
23.60,1600822.451553,1600808.189017
23.70,1615658.362020,1615644.761662
23.80,1630324.369577,1630311.437985
23.90,1645107.973329,1645095.722452
24.00,1660004.642679,1659993.085422
24.10,1675041.532911,1675030.670269
24.20,1690153.606504,1690143.457591
24.30,1705284.495356,1705275.064297
24.40,1720460.982333,1720452.274109
24.50,1735766.021685,1735758.051215
24.60,1751203.011848,1751195.787039
24.70,1766602.901438,1766596.429897
24.80,1782102.314488,1782096.607108
24.90,1797612.514935,1797607.576221
25.00,1813112.160772,1813108.004751
25.10,1828778.067129,1828774.701868
25.20,1844489.811787,1844487.241400
25.30,1860070.092758,1860068.326554
25.40,1876082.515060,1876081.556334
25.50,1891736.430938,1891736.294713
25.60,1907861.334292,1907862.026079
25.70,1923414.671273,1923416.193935
25.80,1939413.070063,1939415.434408
25.90,1955266.792087,1955269.999633
26.00,1971271.526222,1971275.586829
26.10,1987238.196020,1987243.113053
26.20,2003152.454239,2003158.233552
26.30,2019087.528969,2019094.173459
26.40,2035045.455741,2035052.976925
26.50,2050942.326046,2050950.722259
26.60,2066910.575164,2066919.851648
26.70,2082688.091177,2082698.247288
26.80,2098546.871253,2098557.917912
26.90,2114270.336426,2114282.269020
27.00,2130255.706499,2130268.532317
27.10,2145973.107890,2145986.821999
27.20,2161582.222218,2161596.829946
27.30,2177289.619249,2177305.121055
27.40,2192795.639805,2192812.034709
27.50,2208166.515784,2208183.803816
27.60,2223749.762948,2223767.941894
27.70,2238959.621887,2238978.687535
27.80,2254349.291568,2254369.240287
27.90,2269409.418000,2269430.249853
28.00,2284566.787685,2284588.497036
28.10,2299166.432754,2299189.013810
